M,N,K,latency_ns
4,5120,128,21504.00
4,5120,256,21504.00
4,5120,512,20480.00
4,5120,1024,21504.00
4,5120,2048,23552.00
4,5120,3072,27648.00
4,5120,4096,44032.00
4,5120,5120,56320.00
4,5120,8192,77824.00
4,5120,11008,97280.00
4,5120,13824,116736.00
4,5120,14336,120832.00
4,5120,25600,205824.00
4,5120,27648,220159.99
4,5120,28672,227328.00
4,8192,128,20992.00
4,8192,256,20480.00
4,8192,512,20480.00
4,8192,1024,21504.00
4,8192,2048,34816.00
4,8192,3072,49152.00
4,8192,4096,61440.00
4,8192,5120,74240.00
4,8192,8192,109568.00
4,8192,11008,143360.00
4,8192,13824,177151.99
4,8192,14336,183295.99
4,8192,25600,315391.99
4,8192,27648,339968.00
4,8192,28672,352256.00
4,11008,128,20480.00
4,11008,256,20480.00
4,11008,512,20480.00
4,11008,1024,21504.00
4,11008,2048,46080.00
4,11008,3072,62464.00
4,11008,4096,78848.00
4,11008,5120,94208.00
4,11008,8192,143360.00
4,11008,11008,188416.00
4,11008,13824,228352.00
4,11008,14336,236544.00
4,11008,25600,413695.99
4,11008,27648,445439.99
4,11008,28672,457728.00
4,13824,128,21504.00
4,13824,256,20480.00
4,13824,512,21504.00
4,13824,1024,22528.00
4,13824,2048,54272.00
4,13824,3072,73728.00
4,13824,4096,93184.00
4,13824,5120,112640.00
4,13824,8192,212992.00
4,13824,11008,278528.00
4,13824,13824,345088.01
4,13824,14336,356352.00
4,13824,25600,500736.00
4,13824,27648,538623.99
4,13824,28672,558080.02
4,14336,128,21504.00
4,14336,256,21504.00
4,14336,512,22528.00
4,14336,1024,28160.00
4,14336,2048,56320.00
4,14336,3072,77824.00
4,14336,4096,99328.00
4,14336,5120,120320.00
4,14336,8192,184320.00
4,14336,11008,241664.01
4,14336,13824,301056.00
4,14336,14336,311295.99
4,14336,25600,553983.99
4,14336,27648,586752.00
4,14336,28672,610304.00
4,25600,128,21504.00
4,25600,256,20992.00
4,25600,512,22528.00
4,25600,1024,53248.00
4,25600,2048,89088.00
4,25600,3072,124928.00
4,25600,4096,160768.00
4,25600,5120,196608.01
4,25600,8192,316416.00
4,25600,11008,416768.01
4,25600,13824,515583.99
4,25600,14336,533504.01
4,25600,25600,932352.01
4,25600,27648,1003520.01
4,25600,28672,1039360.05
4,27648,128,21504.00
4,27648,256,21504.00
4,27648,512,23040.00
4,27648,1024,56320.00
4,27648,2048,94208.00
4,27648,3072,133120.00
4,27648,4096,171008.01
4,27648,5120,223232.00
4,27648,8192,340992.00
4,27648,11008,448511.99
4,27648,13824,557056.01
4,27648,14336,576511.98
4,27648,25600,1007616.04
4,27648,27648,1085440.04
4,27648,28672,1122303.96
4,28672,128,21504.00
4,28672,256,22528.00
4,28672,512,26624.00
4,28672,1024,65536.00
4,28672,2048,106496.00
4,28672,3072,149504.01
4,28672,4096,189440.00
4,28672,5120,230400.00
4,28672,8192,353280.01
4,28672,11008,470016.00
4,28672,13824,577023.98
4,28672,14336,596992.02
4,28672,25600,1041407.94
4,28672,27648,1118208.05
4,28672,28672,1160704.02
8,128,128,20480.00
8,128,256,20480.00
8,128,512,20480.00
8,128,1024,24576.00
8,128,2048,25600.00
8,128,3072,23552.00
8,128,4096,23552.00
8,128,5120,23552.00
8,128,8192,24576.00
8,128,11008,24576.00
8,128,13824,24064.00
8,128,14336,24576.00
8,128,25600,24576.00
8,128,27648,24576.00
8,128,28672,24576.00
8,256,128,20992.00
8,256,256,20480.00
8,256,512,20480.00
8,256,1024,21504.00
8,256,2048,25600.00
8,256,3072,23552.00
8,256,4096,23552.00
8,256,5120,23552.00
8,256,8192,23552.00
8,256,11008,24576.00
8,256,13824,24576.00
8,256,14336,24576.00
8,256,25600,24576.00
8,256,27648,24576.00
8,256,28672,24576.00
8,512,128,20480.00
8,512,256,20480.00
8,512,512,20480.00
8,512,1024,21504.00
8,512,2048,25600.00
8,512,3072,23552.00
8,512,4096,23552.00
8,512,5120,23552.00
8,512,8192,23552.00
8,512,11008,23552.00
8,512,13824,23552.00
8,512,14336,23552.00
8,512,25600,27648.00
8,512,27648,28672.00
8,512,28672,32768.00
8,1024,128,20480.00
8,1024,256,21504.00
8,1024,512,20480.00
8,1024,1024,21504.00
8,1024,2048,25600.00
8,1024,3072,24576.00
8,1024,4096,23552.00
8,1024,5120,24576.00
8,1024,8192,25600.00
8,1024,11008,27648.00
8,1024,13824,30720.00
8,1024,14336,30720.00
8,1024,25600,55296.00
8,1024,27648,57344.00
8,1024,28672,59392.00
8,2048,128,21504.00
8,2048,256,20480.00
8,2048,512,20480.00
8,2048,1024,20992.00
8,2048,2048,23552.00
8,2048,3072,23552.00
8,2048,4096,24576.00
8,2048,5120,26624.00
8,2048,8192,36864.00
8,2048,11008,49152.00
8,2048,13824,57344.00
8,2048,14336,58368.00
8,2048,25600,93184.00
8,2048,27648,99328.00
8,2048,28672,102400.00
8,3072,128,21504.00
8,3072,256,21504.00
8,3072,512,20480.00
8,3072,1024,21504.00
8,3072,2048,25600.00
8,3072,3072,25600.00
8,3072,4096,25600.00
8,3072,5120,28672.00
8,3072,8192,53248.00
8,3072,11008,65536.00
8,3072,13824,78848.00
8,3072,14336,79872.00
8,3072,25600,126976.00
8,3072,27648,136191.99
8,3072,28672,140288.00
8,4096,128,20480.00
8,4096,256,20480.00
