M,N,K,latency_ns
4,27648,1024,30816.00
4,27648,2048,48128.00
4,27648,3072,66016.00
4,27648,4096,83120.00
4,27648,5120,100800.00
4,27648,8192,160048.00
4,27648,11008,209360.00
4,27648,13824,257903.99
4,27648,14336,267311.99
4,27648,25600,462592.01
4,27648,27648,496960.00
4,27648,28672,514224.02
4,28672,128,14976.00
4,28672,256,15824.00
4,28672,512,17552.00
4,28672,1024,31584.00
4,28672,2048,50640.00
4,28672,3072,68512.00
4,28672,4096,88128.00
4,28672,5120,106272.00
4,28672,8192,162944.00
4,28672,11008,216176.00
4,28672,13824,270480.01
4,28672,14336,278800.00
4,28672,25600,484128.01
4,28672,27648,519535.99
4,28672,28672,537184.00
8,128,128,14752.00
8,128,256,14720.00
8,128,512,14784.00
8,128,1024,14720.00
8,128,2048,15568.00
8,128,3072,16816.00
8,128,4096,16832.00
8,128,5120,16928.00
8,128,8192,16848.00
8,128,11008,17008.00
8,128,13824,16976.00
8,128,14336,16880.00
8,128,25600,16944.00
8,128,27648,17040.00
8,128,28672,17056.00
8,256,128,14720.00
8,256,256,14688.00
8,256,512,14768.00
8,256,1024,14784.00
8,256,2048,15552.00
8,256,3072,16768.00
8,256,4096,17024.00
8,256,5120,16944.00
8,256,8192,16864.00
8,256,11008,16960.00
8,256,13824,16960.00
8,256,14336,17024.00
8,256,25600,17520.00
8,256,27648,17488.00
8,256,28672,17552.00
8,512,128,14704.00
8,512,256,14736.00
8,512,512,14640.00
8,512,1024,14704.00
8,512,2048,15568.00
8,512,3072,16896.00
8,512,4096,16896.00
8,512,5120,16816.00
8,512,8192,16832.00
8,512,11008,16816.00
8,512,13824,16784.00
8,512,14336,16960.00
8,512,25600,17904.00
8,512,27648,18240.00
8,512,28672,18176.00
8,1024,128,14832.00
8,1024,256,14848.00
8,1024,512,14768.00
8,1024,1024,14864.00
8,1024,2048,15488.00
8,1024,3072,16816.00
8,1024,4096,16800.00
8,1024,5120,16672.00
8,1024,8192,17568.00
8,1024,11008,17488.00
8,1024,13824,18944.00
8,1024,14336,18016.00
8,1024,25600,30976.00
8,1024,27648,32160.00
8,1024,28672,33168.00
8,2048,128,14784.00
8,2048,256,14800.00
8,2048,512,14704.00
8,2048,1024,14592.00
8,2048,2048,15680.00
8,2048,3072,16832.00
8,2048,4096,17008.00
8,2048,5120,17568.00
8,2048,8192,18816.00
8,2048,11008,27616.00
8,2048,13824,32720.00
8,2048,14336,32848.00
8,2048,25600,47296.00
8,2048,27648,49744.00
8,2048,28672,51216.00
8,3072,128,14768.00
8,3072,256,14816.00
8,3072,512,14800.00
8,3072,1024,14848.00
8,3072,2048,15680.00
8,3072,3072,17456.00
8,3072,4096,18176.00
8,3072,5120,19152.00
8,3072,8192,30432.00
8,3072,11008,36672.00
8,3072,13824,41968.00
8,3072,14336,42880.00
8,3072,25600,64608.00
8,3072,27648,68864.00
8,3072,28672,70784.00
8,4096,128,15104.00
8,4096,256,15136.00
8,4096,512,15104.00
8,4096,1024,15120.00
8,4096,2048,16000.00
8,4096,3072,17152.00
8,4096,4096,18928.00
8,4096,5120,23008.00
8,4096,8192,35536.00
8,4096,11008,42640.00
8,4096,13824,49712.00
8,4096,14336,51328.00
8,4096,25600,81472.00
8,4096,27648,87008.00
8,4096,28672,90144.00
8,5120,128,14768.00
8,5120,256,14848.00
8,5120,512,14720.00
8,5120,1024,14752.00
8,5120,2048,15840.00
8,5120,3072,17728.00
8,5120,4096,23264.00
8,5120,5120,29664.00
8,5120,8192,41552.00
8,5120,11008,51296.00
8,5120,13824,59520.00
8,5120,14336,61216.00
8,5120,25600,98704.00
8,5120,27648,104976.00
8,5120,28672,109568.00
8,8192,128,14800.00
8,8192,256,14688.00
8,8192,512,14816.00
8,8192,1024,15584.00
8,8192,2048,17904.00
8,8192,3072,29152.00
8,8192,4096,34256.00
8,8192,5120,39536.00
8,8192,8192,54928.00
8,8192,11008,70112.00
8,8192,13824,82912.00
8,8192,14336,86144.00
8,8192,25600,147632.00
8,8192,27648,158304.01
8,8192,28672,163056.00
8,11008,128,14832.00
8,11008,256,14720.00
8,11008,512,14816.00
8,11008,1024,16256.00
8,11008,2048,26096.00
8,11008,3072,35600.00
8,11008,4096,40992.00
8,11008,5120,51552.00
8,11008,8192,76016.00
8,11008,11008,94256.00
8,11008,13824,114848.00
8,11008,14336,118096.00
8,11008,25600,199232.00
8,11008,27648,212224.00
8,11008,28672,222032.00
8,13824,128,14992.00
8,13824,256,14688.00
8,13824,512,15600.00
8,13824,1024,17216.00
8,13824,2048,30624.00
8,13824,3072,39248.00
8,13824,4096,47776.00
8,13824,5120,56560.00
8,13824,8192,85360.00
8,13824,11008,111120.00
8,13824,13824,139936.00
8,13824,14336,143808.01
8,13824,25600,242944.00
8,13824,27648,259935.99
