32,5,64,8,8,os,311,51.447
16,10,64,8,8,os,311,51.447
16,5,128,8,8,os,283,56.537
32,10,32,8,8,os,367,43.597
8,10,64,8,8,os,155,51.613
8,10,12,8,8,os,51,29.412
32,5,32,8,8,os,183,43.716
32,5,6,8,8,os,79,18.987
16,10,32,8,8,os,183,43.716
16,10,6,8,8,os,79,18.987
16,5,64,8,8,os,155,51.613
16,5,12,8,8,os,51,29.412
32,10,16,8,8,os,239,33.473
32,10,3,8,8,os,135,11.111
32,3,12,8,8,os,103,17.476
8,10,32,8,8,os,91,43.956
32,5,16,8,8,os,119,33.613
16,10,16,8,8,os,119,33.613
16,5,32,8,8,os,91,43.956
32,10,8,8,8,os,175,22.857
8,10,16,8,8,os,59,33.898
32,5,8,8,8,os,87,22.989
16,10,8,8,8,os,87,22.989
16,5,16,8,8,os,59,33.898
32,10,4,8,8,os,143,13.986
8,10,8,8,8,os,43,23.256
8,10,4,8,8,os,35,14.286
32,5,4,8,8,os,71,14.085
32,5,2,8,8,os,63,7.937
16,10,4,8,8,os,71,14.085
16,10,2,8,8,os,63,7.937
16,5,8,8,8,os,43,23.256
16,5,4,8,8,os,35,14.286
32,10,2,8,8,os,127,7.874
32,10,1,8,8,os,119,4.202
8,10,2,8,8,os,31,8.065
32,5,1,8,8,os,59,4.237
16,10,1,8,8,os,59,4.237
16,5,2,8,8,os,31,8.065
16,42,12,8,8,os,311,40.514
64,21,6,8,8,os,479,26.305
32,42,6,8,8,os,479,26.305
32,21,12,8,8,os,311,40.514
64,42,3,8,8,os,815,15.460
64,11,12,8,8,os,415,31.807
16,42,32,8,8,os,551,60.980
64,21,16,8,8,os,719,46.732
32,42,16,8,8,os,719,46.732
32,21,32,8,8,os,551,60.980
64,42,8,8,8,os,1055,31.848
64,11,32,8,8,os,735,47.891
16,42,16,8,8,os,359,46.797
64,21,8,8,8,os,527,31.879
32,42,8,8,8,os,527,31.879
32,21,16,8,8,os,359,46.797
64,42,4,8,8,os,863,19.467
64,11,16,8,8,os,479,36.743
16,42,8,8,8,os,263,31.939
16,42,4,8,8,os,215,19.535
64,21,4,8,8,os,431,19.490
64,21,2,8,8,os,383,10.966
32,42,4,8,8,os,431,19.490
32,42,2,8,8,os,383,10.966
32,21,8,8,8,os,263,31.939
32,21,4,8,8,os,215,19.535
64,42,2,8,8,os,767,10.952
64,42,1,8,8,os,719,5.841
64,11,8,8,8,os,351,25.071
64,11,4,8,8,os,287,15.331
16,42,2,8,8,os,191,10.995
64,21,1,8,8,os,359,5.850
32,42,1,8,8,os,359,5.850
32,21,2,8,8,os,191,10.995
64,11,2,8,8,os,255,8.627
32,42,12,8,8,os,623,40.449
128,21,6,8,8,os,959,26.277
64,42,6,8,8,os,959,26.277
64,21,12,8,8,os,623,40.449
128,42,3,8,8,os,1631,15.451
128,11,12,8,8,os,831,31.769
128,21,8,8,8,os,1055,31.848
128,42,4,8,8,os,1727,19.456
128,11,16,8,8,os,959,36.705
128,21,4,8,8,os,863,19.467
128,21,2,8,8,os,767,10.952
128,42,2,8,8,os,1535,10.945
128,42,1,8,8,os,1439,5.837
128,11,8,8,8,os,703,25.036
128,11,4,8,8,os,575,15.304
128,21,1,8,8,os,719,5.841
