M,N,K,measured_ms
1.0,28672.0,12288.0,0.235264
1.0,28672.0,14336.0,0.275328
1.0,28672.0,16384.0,0.312512
1.0,29568.0,8192.0,0.15702
1.0,32000.0,4096.0,0.16374
1.0,32768.0,1024.0,0.035264
1.0,32768.0,2048.0,0.055904
1.0,32768.0,2880.0,0.072832
1.0,32768.0,3072.0,0.076608
1.0,32768.0,3584.0,0.08688
1.0,32768.0,4096.0,0.09728
1.0,32768.0,5120.0,0.117696
1.0,32768.0,6144.0,0.138624
1.0,32768.0,7168.0,0.159136
1.0,32768.0,8192.0,0.180096
1.0,32768.0,10240.0,0.2216
1.0,32768.0,12288.0,0.263104
1.0,32768.0,14336.0,0.304608
1.0,32768.0,16384.0,0.346048
1.0,49155.0,4096.0,0.16352
1.0,64000.0,7168.0,0.04883
1.0,128256.0,4096.0,0.04938
1.0,128256.0,8192.0,0.06048
1.0,131072.0,2880.0,0.06016
1.0,152064.0,3584.0,0.0385
1.0,152064.0,8192.0,0.03824
1.0,248320.0,4096.0,0.03818
1.0,248320.0,5120.0,0.03866
1.0,256000.0,3584.0,0.04128
2.0,1024.0,1024.0,0.017792
2.0,1024.0,2048.0,0.018048
2.0,1024.0,2880.0,0.020192
2.0,1024.0,3072.0,0.020288
2.0,1024.0,3584.0,0.020288
2.0,1024.0,4096.0,0.02048
2.0,1024.0,5120.0,0.02032
2.0,1024.0,6144.0,0.02016
2.0,1024.0,7168.0,0.020128
2.0,1024.0,8192.0,0.020704
2.0,1024.0,10240.0,0.02112
2.0,1024.0,12288.0,0.02176
2.0,1024.0,14336.0,0.02256
2.0,1024.0,16384.0,0.023488
2.0,2048.0,1024.0,0.017728
2.0,2048.0,2048.0,0.017952
2.0,2048.0,2880.0,0.02032
2.0,2048.0,3072.0,0.020224
2.0,2048.0,3584.0,0.02032
2.0,2048.0,4096.0,0.02064
2.0,2048.0,5120.0,0.021184
2.0,2048.0,6144.0,0.021952
2.0,2048.0,7168.0,0.022816
2.0,2048.0,8192.0,0.02224
2.0,2048.0,10240.0,0.026176
2.0,2048.0,12288.0,0.034528
2.0,2048.0,14336.0,0.036512
2.0,2048.0,16384.0,0.039264
2.0,2880.0,1024.0,0.017856
2.0,2880.0,2048.0,0.018048
2.0,2880.0,2880.0,0.03981
2.0,2880.0,3072.0,0.02096
2.0,2880.0,3584.0,0.021248
2.0,2880.0,4096.0,0.021824
2.0,2880.0,5120.0,0.023104
2.0,2880.0,6144.0,0.024448
2.0,2880.0,7168.0,0.027168
2.0,2880.0,8192.0,0.03472
2.0,2880.0,10240.0,0.038432
2.0,2880.0,12288.0,0.04256
2.0,2880.0,14336.0,0.046656
2.0,2880.0,16384.0,0.047712
2.0,3072.0,1024.0,0.01792
2.0,3072.0,2048.0,0.017856
2.0,3072.0,2880.0,0.021248
2.0,3072.0,3072.0,0.021216
2.0,3072.0,3584.0,0.021536
2.0,3072.0,4096.0,0.021632
2.0,3072.0,5120.0,0.022464
2.0,3072.0,6144.0,0.023552
2.0,3072.0,7168.0,0.03104
2.0,3072.0,8192.0,0.033888
2.0,3072.0,10240.0,0.03776
2.0,3072.0,12288.0,0.041888
2.0,3072.0,14336.0,0.045856
