M,N,K,measured_ms
1024,128256,4096,14.476288
1024,128256,8192,28.778496
1024,131072,2880,10.499072
1024,152064,3584,15.144960
1024,152064,8192,33.959934
1024,248320,4096,28.011520
1024,248320,5120,35.093506
1024,256000,3584,25.537537
2048,2880,2880,0.530432
2048,3584,3584,0.817152
2048,3584,14336,3.133440
2048,3584,18944,4.193280
2048,3600,2880,0.708608
2048,4096,4096,1.119232
2048,4096,12288,3.291136
2048,4096,12800,3.466240
2048,4096,14336,3.875840
2048,4608,3584,1.130496
2048,5120,5112,1.571840
2048,5120,17408,5.614592
2048,6144,4096,1.657856
2048,6816,5120,2.181120
2048,7168,3584,1.526784
2048,7168,7168,3.033088
2048,7168,20480,8.101888
2048,8192,8192,4.001792
2048,8192,28672,13.000704
2048,8192,29568,13.617152
2048,9216,7168,4.058112
2048,10240,8192,4.599808
2048,12288,4096,2.940928
2048,12800,4096,2.964480
2048,14336,3584,2.864128
2048,14336,4096,3.257344
2048,17408,5120,5.095424
2048,18944,3584,3.822592
2048,20480,7168,8.156160
2048,28672,8192,12.775424
2048,29568,8192,13.347840
2048,32000,4096,7.341056
2048,49155,4096,15.056896
2048,64000,7168,24.956928
2048,128256,4096,28.902399
2048,128256,8192,57.194496
2048,131072,2880,20.881409
2048,152064,3584,29.968384
2048,152064,8192,68.216835
2048,248320,4096,55.952385
2048,248320,5120,69.905411
2048,256000,3584,50.612225
4096,2880,2880,1.082368
4096,3584,3584,1.565696
4096,3584,14336,6.470656
4096,3584,18944,8.537088
4096,3600,2880,1.470464
4096,4096,4096,2.159616
4096,4096,12288,6.150144
4096,4096,12800,6.518784
4096,4096,14336,7.429120
4096,4608,3584,2.121728
4096,5120,5112,3.050496
4096,5120,17408,11.511808
4096,6144,4096,3.109888
4096,6816,5120,4.117504
4096,7168,3584,2.864128
4096,7168,7168,6.028288
4096,7168,20480,15.981568
4096,8192,8192,8.024064
4096,8192,28672,25.527296
4096,8192,29568,26.535936
4096,9216,7168,7.575552
4096,10240,8192,9.226240
4096,12288,4096,5.591040
4096,12800,4096,5.927936
4096,14336,3584,5.774336
4096,14336,4096,6.576128
4096,17408,5120,9.854976
4096,18944,3584,7.473152
4096,20480,7168,16.284672
4096,28672,8192,25.704449
4096,29568,8192,27.016191
4096,32000,4096,14.475264
4096,49155,4096,29.917185
4096,64000,7168,50.486271
4096,128256,4096,58.189823
4096,128256,8192,115.636223
4096,131072,2880,41.705471
4096,152064,3584,60.454910
4096,152064,8192,137.324539
4096,248320,4096,113.428482
4096,248320,5120,141.570053
4096,256000,3584,102.292480
8192,2880,2880,2.141184
8192,3584,3584,2.885632
8192,3584,14336,13.026304
8192,3584,18944,17.033216
8192,3600,2880,2.723840
8192,4096,4096,3.898368
8192,4096,12288,12.406784
8192,4096,12800,12.968960
8192,4096,14336,14.520320
8192,4608,3584,4.101120
8192,5120,5112,6.433792
8192,5120,17408,22.891520
8192,6144,4096,6.179840
8192,6816,5120,8.038400
8192,7168,3584,5.680128
8192,7168,7168,12.120064
8192,7168,20480,31.962112
8192,8192,8192,16.154625
8192,8192,28672,50.939903
8192,8192,29568,52.528130
8192,9216,7168,14.733312
8192,10240,8192,18.725887
8192,12288,4096,11.123712
8192,12800,4096,11.887616
8192,14336,3584,11.593728
8192,14336,4096,13.000704
8192,17408,5120,20.007936
8192,18944,3584,15.267840
8192,20480,7168,32.473087
8192,28672,8192,51.395584
8192,29568,8192,53.634048
8192,32000,4096,29.369345
8192,49155,4096,59.850754
8192,64000,7168,101.905411
8192,128256,4096,117.957634
8192,128256,8192,234.690567
8192,131072,2880,84.716545
8192,152064,3584,122.441727
8192,152064,8192,279.550964
8192,248320,4096,230.524933
8192,248320,5120,287.874054
8192,256000,3584,207.593475
