M,N,K,measured_ms
4096,12288,4096,1.53
4096,12800,4096,14.59
4096,14336,3584,5.89
4096,14336,4096,11.63
4096,17408,5120,4.34
4096,18944,3584,6.13
4096,20480,7168,13.65
4096,28672,8192,11.33
4096,29568,8192,14.05
4096,32000,4096,10.26
4096,49155,4096,0.22749000000000003
4096,64000,7168,0.33280000000000004
4096,128256,4096,1.18
4096,128256,8192,1.56
4096,131072,2880,0.2936
4096,152064,3584,0.42474
4096,152064,8192,1.16
4096,248320,4096,1.21
4096,248320,5120,1.33
4096,256000,3584,0.42243
8192,2880,2880,0.64954
8192,3584,3584,2.04
8192,3584,14336,0.63574
8192,3584,18944,0.86
8192,3600,2880,0.62528
8192,4096,4096,1.18
8192,4096,12288,3.27
8192,4096,12800,1.56
8192,4096,14336,5.31
8192,4608,3584,5.46
8192,5120,5112,1.52
8192,5120,17408,1.92
8192,6144,4096,1.17
8192,6816,5120,1.24
8192,7168,3584,1.2
8192,7168,7168,1.35
8192,7168,20480,2.05
8192,8192,8192,1.59
8192,8192,28672,3.28
8192,8192,29568,5.22
8192,9216,7168,5.38
8192,10240,8192,3.0
8192,12288,4096,28.02
8192,12800,4096,11.75
8192,14336,3584,22.88
8192,14336,4096,8.61
8192,17408,5120,12.25
8192,18944,3584,27.18
8192,20480,7168,22.66
8192,28672,8192,28.11
8192,29568,8192,20.61
