M,N,K,op_type
256,5120,5112,o_proj
256,5120,17408,down
256,6144,4096,qkv
256,6816,5120,qkv
256,7168,3584,qkv
256,7168,7168,o_proj
256,7168,20480,down
256,8192,8192,o_proj
256,8192,28672,down
256,8192,29568,down
256,9216,7168,qkv
256,10240,8192,qkv
256,12288,4096,gate
256,12288,4096,up
256,12800,4096,gate
256,12800,4096,up
256,14336,3584,gate
256,14336,3584,up
256,14336,4096,gate
256,14336,4096,moe_gate
256,14336,4096,moe_up
256,14336,4096,up
256,17408,5120,gate
256,17408,5120,up
256,18944,3584,gate
256,18944,3584,up
256,20480,7168,gate
256,20480,7168,up
256,28672,8192,gate
256,28672,8192,up
256,29568,8192,gate
256,29568,8192,up
256,32000,4096,lm_head
256,49155,4096,lm_head
256,64000,7168,lm_head
256,128256,4096,lm_head
256,128256,8192,lm_head
256,131072,2880,lm_head
256,152064,3584,lm_head
256,152064,8192,lm_head
256,248320,4096,lm_head
256,248320,5120,lm_head
256,256000,3584,lm_head
512,2880,2880,moe_down
512,2880,2880,moe_gate
512,2880,2880,moe_up
512,2880,2880,o_proj
512,3584,3584,o_proj
512,3584,14336,down
512,3584,18944,down
512,3600,2880,qkv
512,4096,4096,o_proj
512,4096,12288,down
512,4096,12800,down
512,4096,14336,down
512,4096,14336,moe_down
512,4608,3584,qkv
512,5120,5112,o_proj
512,5120,17408,down
512,6144,4096,qkv
512,6816,5120,qkv
512,7168,3584,qkv
512,7168,7168,o_proj
512,7168,20480,down
512,8192,8192,o_proj
512,8192,28672,down
512,8192,29568,down
512,9216,7168,qkv
512,10240,8192,qkv
512,12288,4096,gate
512,12288,4096,up
512,12800,4096,gate
512,12800,4096,up
512,14336,3584,gate
512,14336,3584,up
512,14336,4096,gate
512,14336,4096,moe_gate
512,14336,4096,moe_up
512,14336,4096,up
512,17408,5120,gate
512,17408,5120,up
512,18944,3584,gate
512,18944,3584,up
512,20480,7168,gate
512,20480,7168,up
512,28672,8192,gate
512,28672,8192,up
512,29568,8192,gate
512,29568,8192,up
512,32000,4096,lm_head
512,49155,4096,lm_head
512,64000,7168,lm_head
512,128256,4096,lm_head
512,128256,8192,lm_head
512,131072,2880,lm_head
512,152064,3584,lm_head
512,152064,8192,lm_head
512,248320,4096,lm_head
512,248320,5120,lm_head
512,256000,3584,lm_head
1024,2880,2880,moe_down
1024,2880,2880,moe_gate
1024,2880,2880,moe_up
1024,2880,2880,o_proj
1024,3584,3584,o_proj
1024,3584,14336,down
1024,3584,18944,down
1024,3600,2880,qkv
1024,4096,4096,o_proj
1024,4096,12288,down
1024,4096,12800,down
1024,4096,14336,down
1024,4096,14336,moe_down
1024,4608,3584,qkv
1024,5120,5112,o_proj
1024,5120,17408,down
1024,6144,4096,qkv
1024,6816,5120,qkv
1024,7168,3584,qkv
1024,7168,7168,o_proj
1024,7168,20480,down
1024,8192,8192,o_proj
1024,8192,28672,down
1024,8192,29568,down
1024,9216,7168,qkv
1024,10240,8192,qkv
1024,12288,4096,gate
1024,12288,4096,up
1024,12800,4096,gate
1024,12800,4096,up
1024,14336,3584,gate
1024,14336,3584,up
1024,14336,4096,gate
1024,14336,4096,moe_gate
1024,14336,4096,moe_up
1024,14336,4096,up
1024,17408,5120,gate
1024,17408,5120,up
1024,18944,3584,gate
1024,18944,3584,up
1024,20480,7168,gate
1024,20480,7168,up
1024,28672,8192,gate
1024,28672,8192,up
1024,29568,8192,gate
1024,29568,8192,up
1024,32000,4096,lm_head
1024,49155,4096,lm_head
1024,64000,7168,lm_head
1024,128256,4096,lm_head
1024,128256,8192,lm_head
1024,131072,2880,lm_head
1024,152064,3584,lm_head
1024,152064,8192,lm_head
1024,248320,4096,lm_head
1024,248320,5120,lm_head
1024,256000,3584,lm_head
2048,2880,2880,o_proj
2048,3584,3584,o_proj
2048,3584,14336,down
2048,3584,18944,down
2048,3600,2880,qkv
2048,4096,4096,o_proj
2048,4096,12288,down
2048,4096,12800,down
2048,4096,14336,down
2048,4096,14336,moe_down
2048,4608,3584,qkv
2048,5120,5112,o_proj
2048,5120,17408,down
2048,6144,4096,qkv
2048,6816,5120,qkv
2048,7168,3584,qkv
2048,7168,7168,o_proj
2048,7168,20480,down
2048,8192,8192,o_proj
2048,8192,28672,down
2048,8192,29568,down
2048,9216,7168,qkv
2048,10240,8192,qkv
2048,12288,4096,gate
2048,12288,4096,up
2048,12800,4096,gate
2048,12800,4096,up
2048,14336,3584,gate
2048,14336,3584,up
2048,14336,4096,gate
2048,14336,4096,moe_gate
2048,14336,4096,moe_up
2048,14336,4096,up
2048,17408,5120,gate
2048,17408,5120,up
2048,18944,3584,gate
2048,18944,3584,up
2048,20480,7168,gate
2048,20480,7168,up
2048,28672,8192,gate
2048,28672,8192,up
2048,29568,8192,gate
2048,29568,8192,up
2048,32000,4096,lm_head
2048,49155,4096,lm_head
2048,64000,7168,lm_head
2048,128256,4096,lm_head
2048,128256,8192,lm_head
2048,131072,2880,lm_head
2048,152064,3584,lm_head
2048,152064,8192,lm_head
2048,248320,4096,lm_head
2048,248320,5120,lm_head
2048,256000,3584,lm_head
4096,2880,2880,o_proj
4096,3584,3584,o_proj
4096,3584,14336,down
4096,3584,18944,down
4096,3600,2880,qkv
4096,4096,4096,o_proj
4096,4096,12288,down
4096,4096,12800,down
4096,4096,14336,down
4096,4608,3584,qkv
4096,5120,5112,o_proj
4096,5120,17408,down
4096,6144,4096,qkv
4096,6816,5120,qkv
4096,7168,3584,qkv
4096,7168,7168,o_proj
4096,7168,20480,down
4096,8192,8192,o_proj
4096,8192,28672,down
4096,8192,29568,down
4096,9216,7168,qkv
4096,10240,8192,qkv
4096,12288,4096,gate
4096,12288,4096,up
4096,12800,4096,gate
4096,12800,4096,up
