M,N,K,latency_us
2048,8192,28672,1327.0
2048,8192,29568,1384.0
2048,12800,4096,342.163
2048,14336,3584,334.17
2048,14336,4096,374.064
2048,16384,6144,610.64
2048,20480,7168,880.731
2048,28672,8192,1355.0
2048,29568,8192,1361.0
2048,32000,4096,792.387
2048,49152,4096,1188.0
2048,64000,7168,2609.0
2048,100352,6144,3501.0
2048,128256,4096,2968.0
2048,128256,8192,5803.0
2048,152064,8192,6961.0
2048,256000,3584,5177.0
4096,1024,4096,56.367
4096,1024,6144,84.509
4096,1024,7168,98.998
4096,1024,8192,113.732
4096,2048,3584,100.839
4096,3584,4096,212.339
4096,3584,14336,651.806
4096,4096,3584,199.645
4096,4096,4096,223.69
4096,4096,12800,620.887
4096,4096,14336,688.994
4096,6144,6144,464.88
4096,6144,16384,1155.0
4096,7168,7168,619.833
4096,7168,20480,1651.0
4096,8192,8192,791.373
4096,8192,28672,2625.0
4096,8192,29568,2707.0
4096,12800,4096,648.0
4096,14336,3584,625.308
4096,14336,4096,708.974
4096,16384,6144,1193.0
4096,20480,7168,1695.0
4096,28672,8192,2659.0
4096,29568,8192,2740.0
4096,32000,4096,1529.0
4096,49152,4096,2312.0
4096,64000,7168,5112.0
4096,100352,6144,6863.0
4096,128256,4096,5895.0
4096,128256,8192,11589.0
4096,152064,8192,13743.0
4096,256000,3584,10288.0
8192,1024,4096,116.409
8192,1024,6144,171.884
8192,1024,7168,196.402
8192,1024,8192,221.482
8192,2048,3584,198.723
8192,3584,4096,374.177
8192,3584,14336,1185.0
8192,4096,3584,372.609
8192,4096,4096,420.097
8192,4096,12800,1206.0
8192,4096,14336,1341.0
8192,6144,6144,904.914
8192,6144,16384,2314.0
8192,7168,7168,1181.0
8192,7168,20480,3254.0
8192,8192,8192,1564.0
8192,8192,28672,5313.0
8192,8192,29568,5473.0
8192,12800,4096,1222.0
8192,14336,3584,1208.0
8192,14336,4096,1375.0
8192,16384,6144,2339.0
8192,20480,7168,3280.0
8192,28672,8192,5192.0
8192,29568,8192,5358.0
8192,32000,4096,2986.0
8192,49152,4096,4503.0
8192,64000,7168,10138.0
8192,100352,6144,13550.0
8192,128256,4096,11632.0
8192,128256,8192,23087.0
8192,152064,8192,27966.0
8192,256000,3584,20424.0
