gpu,model,held_out,op,bs,seq,n_tokens,kv_cache_len,d,h,kv,ffn,E,k,duration_us
A100,Llama-3.3-70B,True,ffn,1,128,128,0,8192,64,8,28672,1,1,1629.184
A100,Llama-3.3-70B,True,norm_pre,1,128,128,0,8192,64,8,28672,1,1,109.567
A100,Llama-3.3-70B,True,norm_post,1,128,128,0,8192,64,8,28672,1,1,49.152
A100,Llama-3.3-70B,True,attn,1,256,256,0,8192,64,8,28672,1,1,599.039
A100,Llama-3.3-70B,True,ffn,1,256,256,0,8192,64,8,28672,1,1,1696.768
A100,Llama-3.3-70B,True,norm_pre,1,256,256,0,8192,64,8,28672,1,1,110.592
A100,Llama-3.3-70B,True,norm_post,1,256,256,0,8192,64,8,28672,1,1,65.535
A100,Llama-3.3-70B,True,attn,1,512,512,0,8192,64,8,28672,1,1,1012.735
A100,Llama-3.3-70B,True,ffn,1,512,512,0,8192,64,8,28672,1,1,3087.359
A100,Llama-3.3-70B,True,norm_pre,1,512,512,0,8192,64,8,28672,1,1,131.071
A100,Llama-3.3-70B,True,norm_post,1,512,512,0,8192,64,8,28672,1,1,112.64
A100,Llama-3.3-70B,True,attn,1,768,768,0,8192,64,8,28672,1,1,1301.504
A100,Llama-3.3-70B,True,ffn,1,768,768,0,8192,64,8,28672,1,1,4658.175
A100,Llama-3.3-70B,True,norm_pre,1,768,768,0,8192,64,8,28672,1,1,207.872
A100,Llama-3.3-70B,True,norm_post,1,768,768,0,8192,64,8,28672,1,1,192.512
A100,Llama-3.3-70B,True,attn,1,1024,1024,0,8192,64,8,28672,1,1,1740.8
A100,Llama-3.3-70B,True,ffn,1,1024,1024,0,8192,64,8,28672,1,1,5870.592
A100,Llama-3.3-70B,True,norm_pre,1,1024,1024,0,8192,64,8,28672,1,1,290.816
A100,Llama-3.3-70B,True,norm_post,1,1024,1024,0,8192,64,8,28672,1,1,276.479
A100,Llama-3.3-70B,True,attn,2,128,256,0,8192,64,8,28672,1,1,599.039
A100,Llama-3.3-70B,True,ffn,2,128,256,0,8192,64,8,28672,1,1,1709.056
A100,Llama-3.3-70B,True,norm_pre,2,128,256,0,8192,64,8,28672,1,1,111.616
A100,Llama-3.3-70B,True,norm_post,2,128,256,0,8192,64,8,28672,1,1,64.511
A100,Llama-3.3-70B,True,attn,2,256,512,0,8192,64,8,28672,1,1,999.423
A100,Llama-3.3-70B,True,ffn,2,256,512,0,8192,64,8,28672,1,1,3120.127
A100,Llama-3.3-70B,True,norm_pre,2,256,512,0,8192,64,8,28672,1,1,132.095
A100,Llama-3.3-70B,True,norm_post,2,256,512,0,8192,64,8,28672,1,1,112.64
A100,Llama-3.3-70B,True,attn,2,512,1024,0,8192,64,8,28672,1,1,1692.672
A100,Llama-3.3-70B,True,ffn,2,512,1024,0,8192,64,8,28672,1,1,5870.592
A100,Llama-3.3-70B,True,norm_pre,2,512,1024,0,8192,64,8,28672,1,1,290.816
A100,Llama-3.3-70B,True,norm_post,2,512,1024,0,8192,64,8,28672,1,1,276.479
A100,Llama-3.3-70B,True,attn,4,128,512,0,8192,64,8,28672,1,1,994.304
A100,Llama-3.3-70B,True,ffn,4,128,512,0,8192,64,8,28672,1,1,3120.127
A100,Llama-3.3-70B,True,norm_pre,4,128,512,0,8192,64,8,28672,1,1,132.095
A100,Llama-3.3-70B,True,norm_post,4,128,512,0,8192,64,8,28672,1,1,112.64
A100,Llama-3.3-70B,True,attn,4,256,1024,0,8192,64,8,28672,1,1,1665.024
A100,Llama-3.3-70B,True,ffn,4,256,1024,0,8192,64,8,28672,1,1,5869.567
A100,Llama-3.3-70B,True,norm_pre,4,256,1024,0,8192,64,8,28672,1,1,290.816
A100,Llama-3.3-70B,True,norm_post,4,256,1024,0,8192,64,8,28672,1,1,276.479
A100,Llama-3.3-70B,True,attn,4,512,2048,0,8192,64,8,28672,1,1,3158.015
